,dataid,year_house_constructed,house_num_rooms,house_square_feet,house_ceiling_height,sex_males,sex_females,residents_under_5,residents_6_to_12,residents_13_to_18,residents_19_to_24,residents_25_to_34,residents_35_to_49,residents_50_to_64,residents_older_65,education_level,total_annual_income,ceiling_fans_count
101,1415,2008,3.0,1720.0,9,1,2,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Postgraduate degree,$150-000 - $299-000,4.0
102,9052,2008,12.0,2400.0,9,2,2,2.0,,,,,2.0,,,Postgraduate degree,$100-000 - $149-999,5.0
103,7057,2009,7.0,1740.0,9,2,None,,,,,,2.0,,,Postgraduate degree,$150-000 - $299-000,4.0
104,9543,2008,7.0,1540.0,11-Sep,4,,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,Postgraduate degree,$75-000 - $99-999,5.0
105,3723,2008,3.0,1551.0,9,1,1,,,,,1.0,1.0,,,College graduate,,4.0
106,3263,1989,3.0,1015.0,10,2,1,1.0,,,,2.0,,,,Postgraduate degree,$50-000 - $74-999,4.0
107,4874,2010,7.0,2100.0,10,1,1,,,,,,1.0,1.0,,Postgraduate degree,$75-000 - $99-999,5.0
108,7447,1991,15.0,3250.0,9 minimum- varies- 2 story foyer- some vaulted,1,1,,,,,,1.0,1.0,,Postgraduate degree,$150-000 - $299-000,6.0
109,9555,2002,11.0,2500.0,120,3,2,1.0,2.0,,,,2.0,,,Postgraduate degree,$100-000 - $149-999,5.0
110,8317,2008,9.0,1576.0,10,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Postgraduate degree,$50-000 - $74-999,2.0
111,2345,2008,8.0,1700.0,20-Oct,1,1,,,,,,2.0,,,College graduate,,3.0
112,2946,2011,3.0,2150.0,10,1,1,0.0,0.0,0.0,0.0,2.0,,,,Postgraduate degree,$150-000 - $299-000,2.0
113,8956,2009,7.0,1200.0,9 ft,,1,,,,,,,1.0,,College graduate,$35-000 - $49-999,4.0
114,304,1964,12.0,3200.0,14,3,1,1.0,,1.0,,,2.0,,,College graduate,$100-000 - $149-999,6.0
115,4591,1963,5.0,1450.0,8,None,1,,,,,,,,1.0,Postgraduate degree,$20-000 - $34-999,4.0
116,370,2008,8.0,2682.0,10 to 16,1,1,,,,,,,2.0,,Postgraduate degree,$100-000 - $149-999,5.0
117,9036,1980,2.0,1800.0,10,,2,,,,,2.0,,,,College graduate,$100-000 - $149-999,4.0
118,1283,2007,10.0,2500.0,16-Sep,3,2,,3.0,,,,2.0,,,Postgraduate degree,$100-000 - $149-999,6.0
119,2365,1930 or earlier,13.0,2500.0,?,2,2,2.0,,,,,2.0,,,Postgraduate degree,$150-000 - $299-000,6.0
120,7429,2007,9.0,2500.0,10 to 16,1,1,,,,,,,2.0,,Postgraduate degree,$100-000 - $149-999,5.0
121,2116,1981,8.0,2100.0,8,1,2,,,1.0,,,1.0,1.0,,Postgraduate degree,$100-000 - $149-999,4.0
122,2925,2010,3.0,2330.0,10,2,2,,2.0,,,,2.0,,,Postgraduate degree,$150-000 - $299-000,4.0
123,2995,2009,6.0,1600.0,,2,,,,,,2.0,,,,Postgraduate degree,$150-000 - $299-000,5.0
124,8018,1941,12.0,2100.0,7,2,3,,,1.0,2.0,,,2.0,,Postgraduate degree,$150-000 - $299-000,4.0
125,3922,1991,8.0,3100.0,10,1,1,,,,,,,2.0,,College graduate,$150-000 - $299-000,5.0
126,5312,1980,7.0,1300.0,8,2,2,,,,1.0,,1.0,1.0,1.0,Postgraduate degree,$50-000 - $74-999,6.0
127,3829,2010,4.0,2300.0,9-10- depending on room,1,1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Postgraduate degree,$150-000 - $299-000,6.0
128,9971,2009,4.0,3100.0,12,1,1,,,,,1.0,1.0,,,Postgraduate degree,$150-000 - $299-000,6.0
129,9751,2006,14.0,2970.0,10,1,1,,,,,,,2.0,,College graduate,$100-000 - $149-999,6.0
130,50,1990,9.0,2900.0,10/12/1950,2,1,,1.0,,,,1.0,1.0,,Postgraduate degree,,6.0
131,7510,1992,10.0,3850.0,10,1,2,,,1.0,,,,2.0,,Postgraduate degree,$150-000 - $299-000,6.0
132,5262,1974,10.0,3100.0,95.5,2,1,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,College graduate,$150-000 - $299-000,5.0
133,4162,1930 or earlier,12.0,3000.0,10,2,1,,,1.0,,,1.0,1.0,,Postgraduate degree,$150-000 - $299-000,5.0
134,8833,1965,9.0,2500.0,8,2,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,Some college/trade/vocational school,$35-000 - $49-999,2.0
135,4670,2005,4.0,3048.0,18,2,2,,,,2.0,,,2.0,,College graduate,,6.0
136,2369,1968,9.0,2210.0,8,2,1,,,1.0,,,,2.0,,College graduate,$100-000 - $149-999,4.0
137,1700,2000,15.0,3100.0,9,2,2,,2.0,,,,2.0,,,College graduate,$150-000 - $299-000,6.0
138,1035,1964,11.0,1780.0,10,1,1,,,,,2.0,,,,College graduate,$75-000 - $99-999,5.0
139,4162,2005,12.0,4000.0,12,1,3,,2.0,,,,4.0,,,Postgraduate degree,$100-000 - $149-999,6.0
140,6072,,8.0,1700.0,7,1,1,,,,,,1.0,1.0,,Postgraduate degree,$75-000 - $99-999,5.0
141,2829,,,,,1,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,College graduate,$35-000 - $49-999,6.0
142,2744,1956,7.0,930.0,8 to 10 (sloping),1,None,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,College graduate,,4.0
143,9462,1996,14.0,3760.0,11,1,1,,,,,,,1.0,1.0,Postgraduate degree,$100-000 - $149-999,6.0
144,1796,1946,5.0,850.0,8,1,3,1.0,1.0,,,,2.0,,,Postgraduate degree,$75-000 - $99-999,4.0
145,6246,1979,12.0,2200.0,8,1,1,,,,,,,2.0,,Postgraduate degree,$100-000 - $149-999,4.0
146,2401,2011,3.0,1079.0,9,None,1,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,College graduate,$20-000 - $34-999,3.0
147,9639,1965,6.0,2000.0,8,1,1,,,,,,,,2.0,College graduate,$75-000 - $99-999,3.0
148,8731,1984,9.0,2100.0,Varies -- 8-10 feet,1,1,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,Postgraduate degree,$75-000 - $99-999,6.0
149,3652,1973,9.0,2700.0,10+,2,2,,2.0,,,,2.0,,,Postgraduate degree,$150-000 - $299-000,4.0
150,1500,2011,3.0,713.0,9,1,1,,,,,,,1.0,1.0,Postgraduate degree,$20-000 - $34-999,2.0
151,3273,2011,4.0,1002.0,96,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,High School graduate,$20-000 - $34-999,3.0
